Hidden State,Observed State,Current Lane,Timestamp,Trip ID
Vehicle,Stop,Merging,15:19:45,2
Vehicle,Go,Right,15:21:18,2
Vehicle,Change Lane Left,Left,15:22:20,2
Vehicle,Change Lane Right,Right,15:23:57,2
Vehicle,Change Lane Left,Left,15:24:51,2
Vehicle,Change Lane Right,Right,15:25:17,2
Vehicle,Change Lane Left,Left,15:25:35,2
Vehicle,Stop,Left,15:25:51,2
Vehicle,Go,Left,15:25:57,2
Vehicle,Stop,Left,15:26:06,2
Vehicle,Go,Left,15:26:28,2
Vehicle,Stop,Left,15:28:32,2
Vehicle,Go,Left,15:28:43,2
Vehicle,Stop,Left,15:31:03,2
Vehicle,Go,Left,15:31:20,2
Vehicle,Stop,Left,15:32:00,2
Vehicle,Go,Left,15:32:21,2
Stoplight,Stop,Left,15:32:38,2
Stoplight,Go,Left,15:33:13,2
Vehicle,Change Lane Right,Right,15:33:58,2
Vehicle,Change Lane Left,Left,15:34:04,2
Vehicle,Change Lane Right,Right,15:34:06,2
Vehicle,Change Lane Left,Left,15:35:01,2
Vehicle,Change Lane Right,Right,15:35:13,2
Vehicle,Change Lane Left,Left,15:35:32,2
Vehicle,Change Lane Right,Right,15:35:47,2
Vehicle,Change Lane Left,Left,15:37:04,2
Vehicle,Change Lane Right,Right,15:37:35,2
Vehicle,Change Lane Left,Left,15:37:37,2
Vehicle,Change Lane Right,Right,15:37:58,2
Vehicle,Change Lane Left,Left,15:38:23,2
Vehicle,Change Lane Right,Right,15:38:40,2
Passenger,Stop,Right,15:40:36,2
Passenger,Unload,Right,15:40:36,2
Passenger,Go,Right,15:40:50,2
Vehicle,Change Lane Left,Left,15:41:08,2
Vehicle,Change Lane Right,Middle,15:41:55,2
Stoplight,Stop,Middle,15:42:16,2
Stoplight,Go,Middle,15:42:43,2
Vehicle,Change Lane Left,Left ,15:42:50,2
Vehicle,Change Lane Right,Middle,15:43:27,2
Passenger,Change Lane Right,Right,15:44:00,2
Passenger,Stop,Right,15:44:06,2
Passenger,Unload,Right,15:44:06,2
Passenger,Go,Right,15:44:14,2
Vehicle,Change Lane Left,Middle,15:44:14,2
Vehicle,Change Lane Left,Left,15:44:41,2
Vehicle,Change Lane Right,Middle,15:45:09,2
Vehicle,Change Lane Left,Left,15:45:53,2
Vehicle,Change Lane Right,Middle,15:53:01,2
Vehicle,Change Lane Left,Left,15:53:05,2
Vehicle,Change Lane Right,Middle,15:53:45,2
Vehicle,Change Lane Left,Left,15:54:20,2
Vehicle,Change Lane Right,Middle,15:54:45,2
Stoplight,Change Lane Right,Right,15:55:04,2
Stoplight,Stop,Right,15:55:14,2
Stoplight,Go,Right,15:55:58,2
Vehicle,Change Lane Left,Middle,15:56:06,2
Vehicle,Change Lane Left,Left,15:56:08,2
Stoplight,Stop,Left,15:57:49,2
Stoplight,Go,Left,15:58:55,2
Vehicle,Change Lane Right,Middle,15:59:43,2
Vehicle,Change Lane Left,Left,16:00:17,2
Vehicle,Change Lane Right,Middle,16:01:24,2
Vehicle,Change Lane Left,Left,16:01:30,2
Vehicle,Change Lane Right,Middle,16:01:45,2
Stoplight,Stop,Middle,16:02:03,2
Stoplight,Go,Middle,16:02:18,2
Vehicle,Change Lane Left,Left,16:03:16,2
Vehicle,Change Lane Left,Middle2,16:04:46,2
Vehicle,Change Lane Left,Middle1,16:05:06,2
Vehicle,Change Lane Left,Left,16:05:18,2
Vehicle,Change Lane Right,Middle1,16:12:34,2
Vehicle,Change Lane Left,Left,16:12:44,2
Vehicle,Change Lane Right,Middle1,16:13:51,2
Vehicle,Change Lane Right,Middle2,16:14:09,2
Vehicle,Change Lane Right,Right,16:16:27,2
Passenger,Stop,Right,16:18:12,2
Passenger,Unload,Right,16:18:12,2
Passenger,Load,Left,03:47:52,3
Vehicle,Change Lane Right,Right,03:49:21,3
Vehicle,Change Lane Left,Middle,03:49:53,3
Vehicle,Change Lane Left,Left,03:50:14,3
Vehicle,Change Lane Right,Middle,03:52:29,3
Vehicle,Change Lane Right,Right,03:52:33,3
Vehicle,Change Lane Left,Middle,03:52:40,3
Vehicle,Change Lane Left,Left,03:52:47,3
Vehicle,Change Lane Right,Middle,03:54:50,3
Vehicle,Change Lane Left,Left,03:55:04,3
Vehicle,Change Lane Right,Middle,03:55:16,3
Vehicle,Change Lane Right,Right,03:55:31,3
Vehicle,Change Lane Left,Middle,03:55:45,3
Vehicle,Change Lane Left,Left,03:56:04,3
Vehicle,Change Lane Right,Middle,03:57:17,3
Vehicle,Change Lane Left,Left,03:58:01,3
Vehicle,Change Lane Right,Middle,03:58:24,3
Vehicle,Change Lane Right,Right,03:58:27,3
Vehicle,Change Lane Right,Right,03:59:06,3
Vehicle,Change Lane Left,Left,04:00:58,3
Vehicle,Change Lane Right,Right,04:01:05,3
Vehicle,Change Lane Left,Middle,04:01:30,3
Vehicle,Change Lane Left,Left,04:01:33,3
Vehicle,Change Lane Right,Middle,04:02:13,3
Vehicle,Change Lane Right,Right,04:02:46,3
Stoplight,Stop,Right,04:03:11,3
Stoplight,Go,Right,04:03:41,3
Vehicle,Change Lane Left,Middle,04:03:46,3
Stoplight,Change Lane Right,Right,04:04:54,3
Vehicle,Change Lane Left,Middle,04:05:15,3
Vehicle,Change Lane Left,Left,04:05:28,3
Vehicle,Change Lane Right,Middle,04:05:50,3
Vehicle,Change Lane Right,Right,04:05:53,3
Vehicle,Change Lane Left,Middle,04:06:03,3
Vehicle,Change Lane Left,Left,04:06:30,3
Vehicle,Change Lane Right,Middle,04:06:45,3
Vehicle,Change Lane Left,Left,04:07:02,3
Vehicle,Change Lane Right,Middle,04:07:07,3
Vehicle,Change Lane Left,Left,04:07:50,3
Vehicle,Change Lane Right,Middle,04:08:03,3
Vehicle,Change Lane Left,Left,04:08:21,3
Vehicle,Change Lane Right,Middle,04:09:00,3
Vehicle,Change Lane Right,Right,04:10:04,3
Stoplight,Stop,Right,04:10:15,3
Stoplight,Go,Right,04:10:20,3
Vehicle,Change Lane Left,Middle,04:10:34,3
Vehicle,Change Lane Left,Left,04:10:41,3
Passenger,Change Lane Right,Middle,04:11:13,3
Passenger,Change Lane Right,Right,04:11:24,3
Passenger,Stop,Right,04:11:30,3
Passenger,Unload,Right,04:11:30,3
Passenger,Go,Right,04:11:41,3
Vehicle,Change Lane Right,Middle,04:11:41,3
Passenger,Change Lane Right,Right,04:12:01,3
Passenger,Stop,Right,04:12:07,3
Passenger,Unload,Right,04:12:07,3
Passenger,Go,Right,04:13:46,3
Vehicle,Change Lane Left,Left,04:14:46,3
Vehicle,Change Lane Right,Middle,04:15:03,3
Vehicle,Change Lane Left,Left,04:16:00,3
Vehicle,Change Lane Right,Middle,04:16:10,3
Vehicle,Change Lane Left,Left,04:16:35,3
Vehicle,Change Lane Right,Middle,04:16:47,3
Vehicle,Change Lane Right,Right,04:17:22,3
Stoplight,Stop,Right,04:17:27,3
Stoplight,Go,Right,04:17:33,3
Passenger,Change Lane Right,Right,04:21:07,3
Passenger,Stop,Right,04:21:12,3
Passenger,Unload,Right,04:21:12,3
Passenger,Go,Right,04:22:41,3
Vehicle,Change Lane Left,Middle,04:22:41,3
Vehicle,Change Lane Left,Left,04:22:58,3
Stoplight,Stop,Left,04:23:15,3
Stoplight,Go,Left,04:24:32,3
Passenger,Change Lane Right,Right,04:25:01,3
Passenger,Stop,Right,04:25:16,3
Passenger,Unload,Right,04:25:16,3
Vehicle,Change Lane Left,Left,03:44:06,4
Vehicle,Change Lane Right,Right,03:44:11,4
Vehicle,Change Lane Left,Left,03:44:55,4
Vehicle,Change Lane Right,Right,03:45:35,4
Vehicle,Change Lane Left,Left,03:45:57,4
Vehicle,Change Lane Right,Right,03:46:41,4
Vehicle,Change Lane Left,Left,03:47:14,4
Vehicle,Change Lane Right,Right,03:47:31,4
Vehicle,Change Lane Left,Left,03:47:55,4
Vehicle,Change Lane Right,Right,03:48:10,4
Vehicle,Change Lane Left,Left,03:48:27,4
Vehicle,Change Lane Right,Right,03:49:20,4
Vehicle,Change Lane Left,Left,03:49:30,4
Passenger,Stop,Left,03:53:00,4
Passenger,Go,Left,04:01:02,4
Vehicle,Change Lane Right,Right,04:01:38,4
Vehicle,Change Lane Left,Left,04:01:48,4
Vehicle,Change Lane Right,Right,04:02:00,4
Vehicle,Change Lane Left,Left,04:02:14,4
Vehicle,Change Lane Right,Right,04:02:31,4
Vehicle,Change Lane Right,Left,04:02:41,4
Vehicle,Change Lane Right,Middle,04:10:36,4
Vehicle,Change Lane Left,Left,04:10:54,4
Vehicle,Change Lane Right,Middle,04:12:12,4
Vehicle,Change Lane Left,Left,04:12:50,4
Vehicle,Change Lane Right,Middle,04:13:23,4
Vehicle,Change Lane Right,Right,04:13:31,4
Vehicle,Change Lane Left,Middle,04:19:37,4
Vehicle,Change Lane Right,Right,04:19:51,4
Vehicle,Change Lane Left,Left,04:19:58,4
Vehicle,Change Lane Right,Right,04:21:38,4
Vehicle,Change Lane Left,Left,04:21:45,4
Vehicle,Change Lane Right,Middle,04:21:53,4
Vehicle,Change Lane Right,Right,04:22:54,4
Passenger,Stop,Right,04:22:56,4
Passenger,Unload,Right,04:22:56,4
Passenger,Go,Right,04:23:34,4
Vehicle,Change Lane Left,Middle,04:23:44,4
Vehicle,Change Lane Left,Left,04:23:55,4
Vehicle,Change Lane Right,Middle,04:24:10,4
Vehicle,Change Lane Left,Left,04:24:46,4
Vehicle,Change Lane Right,Middle,04:25:07,4
Vehicle,Change Lane Left,Left,04:25:13,4
Vehicle,Change Lane Right,Middle,04:25:08,4
Vehicle,Change Lane Right,Right,04:25:19,4
Vehicle,Change Lane Left,Left,04:25:35,4
Vehicle,Change Lane Right,Middle,04:25:43,4
Vehicle,Change Lane Left,Left,04:25:52,4
Vehicle,Change Lane Right,Right,04:26:03,4
Vehicle,Change Lane Left,Middle,04:26:22,4
Vehicle,Change Lane Right,Right,04:27:57,4
Passenger,Stop,Right,04:28:07,4
Passenger,Unload,Right,04:28:07,4
Passenger,Go,Right,04:28:42,4
Vehicle,Change Lane Left,Left,04:28:54,4
Vehicle,Change Lane Right,Right,04:29:12,4
Vehicle,Change Lane Left,Left,04:29:28,4
Vehicle,Change Lane Right,Right,04:29:40,4
Vehicle,Change Lane Left,Left,04:29:58,4
Vehicle,Change Lane Right,Right,04:30:05,4
Vehicle,Change Lane Left,Left,04:30:52,4
Vehicle,Change Lane Right,Middle,04:31:50,4
Vehicle,Change Lane Right,Right,04:33:32,4
Passenger,Stop,Right,04:34:22,4
Passenger,Unload,Right,04:34:22,4
Passenger,Go,Left,04:37:05,4
Vehicle,Change Lane Left,Left,04:40:21,4
Passenger,Stop,Right,04:40:35,4
Passenger,Unload,Right,04:40:35,4
Passenger,Go,Right,04:42:07,4
Vehicle,Go,Left,06:34:16,5
Vehicle,Change Lane Right,Right,06:35:23,5
Vehicle,Change Lane Left,Left,06:35:48,5
Vehicle,Change Lane Right,Right,06:36:10,5
Vehicle,Change Lane Right,Right,06:36:43,5
Vehicle,Change Lane Left,Left,06:37:22,5
Vehicle,Change Lane Right,Right,06:37:47,5
Vehicle,Change Lane Left,Left,06:37:55,5
Vehicle,Change Lane Right,Right,06:38:39,5
Vehicle,Change Lane Left,Left,06:39:49,5
Vehicle,Change Lane Right,Right,06:40:05,5
Vehicle,Change Lane Left,Left,06:40:17,5
Vehicle,Change Lane Right,Right,06:41:31,5
Vehicle,Change Lane Left,Left,06:42:09,5
Vehicle,Change Lane Right,Middle,06:43:12,5
Vehicle,Change Lane Left,Left,06:43:27,5
Vehicle,Change Lane Right,Middle,06:44:45,5
Vehicle,Change Lane Left,Left,06:45:21,5
Vehicle,Change Lane Right,Right,06:49:14,5
Vehicle,Change Lane Left,Middle,06:50:55,5
Vehicle,Change Lane Left,Left,06:51:25,5
Vehicle,Change Lane Right,Middle,06:53:40,5
Vehicle,Change Lane Left,Left,06:54:56,5
Vehicle,Change Lane Right,Middle,06:55:05,5
Vehicle,Change Lane Right,Right,06:55:35,5
Vehicle,Change Lane Right,Right,06:55:49,5
Vehicle,Change Lane Left,Middle,06:59:04,5
Vehicle,Change Lane Left,Left,06:59:19,5
Vehicle,Change Lane Right,Middle,07:00:06,5
Vehicle,Change Lane Right,Right,07:00:17,5
Vehicle,Change Lane Left,Middle,07:00:21,5
Vehicle,Change Lane Left,Left,07:00:25,5
Vehicle,Change Lane Right,Middle,07:01:58,5
Vehicle,Change Lane Right,Right,07:02:10,5
Vehicle,Change Lane Left,Middle,07:19:16,5
Vehicle,Change Lane Left,Left,07:21:19,5
Vehicle,Change Lane Right,Right,07:21:43,5
Vehicle,Change Lane Left,Left,07:22:05,5
Vehicle,Change Lane Right,Right,07:22:58,5
Vehicle,Change Lane Left,Left,07:23:15,5
Vehicle,Change Lane Right,Middle,07:23:30,5
Vehicle,Change Lane Right,Right,07:24:01,5
Vehicle,Change Lane Left,Middle,07:24:15,5
Vehicle,Change Lane Left,Middle,07:24:31,5
Vehicle,Change Lane Left,Left,07:24:52,5
Vehicle,Change Lane Right,Middle,07:26:20,5
Vehicle,Change Lane Left,Left,07:26:24,5
Vehicle,Change Lane Right,Middle,07:26:59,5
Vehicle,Change Lane Left,Left,07:27:34,5
Vehicle,Change Lane Right,Middle,07:28:03,5
Vehicle,Change Lane Left,Left,07:28:13,5
Vehicle,Change Lane Right,Middle,07:29:05,5
Vehicle,Change Lane Left,Left,07:29:36,5
Vehicle,Change Lane Right,Right,07:30:07,5
Vehicle,Change Lane Left,Middle,07:30:39,5
Vehicle,Change Lane Left,Left,07:30:51,5
Vehicle,Change Lane Right,Middle,07:31:02,5
Vehicle,Change Lane Left,Left,07:31:13,5
Vehicle,Change Lane Right,Middle,07:32:18,5
Vehicle,Change Lane Left,Left,07:32:36,5
Vehicle,Change Lane Right,Middle,07:32:43,5
Vehicle,Change Lane Right,Right,07:32:45,5
Vehicle,Change Lane Right,Left,07:33:33,5
Vehicle,Change Lane Right,Right,07:34:14,5
Vehicle,Change Lane Left,Left,07:37:52,5
Vehicle,Change Lane Right,Right,07:39:41,5
Vehicle,Change Lane Right,Left,07:42:15,5
Vehicle,Change Lane Right,Right,07:43:11,5
Vehicle,Change Lane Left,Left,07:43:15,5
Vehicle,Change Lane Right,Right,07:43:43,5
Vehicle,Change Lane Left,Left,07:43:58,5
Vehicle,Change Lane Right,Right,07:45:13,5
Vehicle,Change Lane Left,Left,07:45:31,5
Vehicle,Change Lane Right,Right,07:45:39,5
Vehicle,Change Lane Left,Left,07:51:40,5
Vehicle,Change Lane Right,Right,07:51:49,5
Vehicle,Change Lane Left,Left,08:03:41,5
Vehicle,Change Lane Right,Right,08:04:18,5
Vehicle,Change Lane Left,Left,08:04:26,5
Vehicle,Change Lane Right,Right,08:06:51,5
Vehicle,Change Lane Left,Left,08:08:04,5
Vehicle,Change Lane Left,Left,08:09:06,5
Vehicle,Change Lane Right,Middle,08:09:48,5
Vehicle,Change Lane Right,Right,08:09:57,5
Vehicle,Change Lane Left,Left,08:10:26,5
Vehicle,Change Lane Right,Middle,08:10:39,5
Vehicle,Change Lane Left,Left,08:10:44,5
Vehicle,Change Lane Right,Middle,08:10:53,5
Vehicle,Change Lane Right,Right,08:11:05,5
Vehicle,Change Lane Left,Left,08:12:36,5
Vehicle,Change Lane Right,Right,08:15:00,5
Passenger,Stop,Right,08:18:27,5
Passenger,Go,Right,08:18:41,5
Vehicle,Change Lane Left,Left,08:18:50,5
Vehicle,Change Lane Right,Right,08:19:19,5
Vehicle,Change Lane Left,Left,08:19:28,5
Vehicle,Change Lane Right,Right,08:21:33,5
Vehicle,Change Lane Right,Right,08:22:02,5
Vehicle,Change Lane Left,Left,08:35:49,5
Vehicle,Change Lane Right,Right,08:51:22,5
Vehicle,Change Lane Left,Left,08:52:00,5
Vehicle,Change Lane Right,Right,08:54:12,5
Vehicle,Change Lane Right,Right,08:57:05,5
Vehicle,Change Lane Left,Left,08:57:59,5
Vehicle,Change Lane Right,Right,08:58:08,5
Vehicle,Change Lane Left,Left,09:00:36,5
Vehicle,Change Lane Right,Right,09:00:50,5
Vehicle,Change Lane Left,Left,13:57:55,6
Vehicle,Change Lane Right,Middle,13:58:41,6
Vehicle,Change Lane Right,Right,13:58:50,6
Vehicle,Change Lane Right,Right,13:59:24,6
Vehicle,Change Lane Left,Right,14:04:48,6
Vehicle,Change Lane Right,Right,14:06:27,6
Vehicle,Change Lane Left,Left,14:09:05,6
Vehicle,Change Lane Right,Right,14:11:32,6
Vehicle,Change Lane Left,Left,14:11:46,6
Vehicle,Change Lane Right,Right,14:14:22,6
Vehicle,Change Lane Left,Left,14:15:39,6
Vehicle,Change Lane Right,Right,14:15:55,6
Vehicle,Change Lane Left,Left,14:20:27,6
Vehicle,Stop,Left,14:22:23,6
Vehicle,Change Lane Right,Right,14:43:23,6
Vehicle,Change Lane Left,Left,14:46:37,6
Vehicle,Change Lane Right,Right,14:46:46,6
Vehicle,Change Lane Left,Left,14:47:55,6
Vehicle,Change Lane Right,Right,14:48:10,6
Vehicle,Change Lane Left,Left,14:50:31,6
Vehicle,Change Lane Right,Right,14:51:23,6
Vehicle,Change Lane Left,Left,14:51:40,6
Vehicle,Change Lane Right,Right,14:52:31,6
Vehicle,Change Lane Left,Left,14:52:46,6
Vehicle,Change Lane Right,Right,14:52:21,6
Vehicle,Change Lane Left,Left,14:53:04,6
Vehicle,Change Lane Right,Right,14:53:30,6
Vehicle,Change Lane Left,Left,14:53:39,6
Vehicle,Change Lane Right,Right,14:53:52,6
Vehicle,Change Lane Left,Left,14:54:20,6
Vehicle,Change Lane Right,Right,14:55:24,6
Vehicle,Change Lane Left,Left,14:55:58,6
Vehicle,Change Lane Right,Right,14:56:57,6
Vehicle,Change Lane Left,Left,14:57:21,6
Vehicle,Change Lane Right,Middle,15:00:27,6
Vehicle,Change Lane Left,Left,15:00:31,6
Vehicle,Change Lane Left,Right,15:01:09,6
Vehicle,Change Lane Left,Left,15:02:58,6
Stoplight,Stop,Left,15:03:17,6
Stoplight,Go,Left,16:06:55,6
Vehicle,Change Lane Left,Left,16:08:30,6
Vehicle,Change Lane Left,Left,16:09:27,6
Vehicle,Change Lane Right,Right,16:11:31,6
Vehicle,Change Lane Left,Left,16:11:40,6
Vehicle,Change Lane Right,Right,16:12:17,6
Vehicle,Change Lane Left,Left,16:13:04,6
Vehicle,Change Lane Right,Right,16:13:38,6
Vehicle,Change Lane Left,Left,16:13:56,6
Vehicle,Change Lane Right,Right,16:14:12,6
Vehicle,Change Lane Left,Left,16:14:32,6
Vehicle,Change Lane Right,Right,16:16:35,6
Vehicle,Change Lane Left,Left,16:16:40,6
Vehicle,Change Lane Right,Right,16:18:25,6
Vehicle,Change Lane Left,Left,16:18:29,6
Passenger,Go,Right,00:00:00,8
Passenger,Change Lane Right,Right,00:00:00,8
Passenger,Stop,Right,00:00:00,8
Passenger,Go,Right,00:00:00,8
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Left,Left,00:00:00,8
Vehicle,Change Lane Right,Middle,00:00:00,8
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Right,Right,00:00:00,8
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Left,Left,00:00:00,8
Stoplight,Stop,Right,00:00:00,8
Passenger,Stop,Right,14:45:48,8
Passenger,Load,Right,00:00:00,8
Passenger,Go,Right,14:46:16,8
Vehicle,Change Lane Left,Left,00:00:00,8
Vehicle,Change Lane Right,Right,00:00:00,8
Vehicle,Change Lane Left,Left,00:00:00,8
Vehicle,Change Lane Right,Middle,00:00:00,8
Passenger,Change Lane Right,Right,00:00:00,8
Passenger,Stop,Right,14:48:44,8
Passenger,Load,Right,00:00:00,8
Passenger,Go,Right,14:48:58,8
Passenger,Change Lane Right,Right,00:00:00,8
Passenger,Stop,Right,14:49:30,8
Passenger,Load,Right,00:00:00,8
Passenger,Go,Right,14:49:47,8
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Left,Left,00:00:00,8
Stoplight,Stop,Left,00:00:00,8
Stoplight,Go,Left,00:00:00,8
Stoplight,Stop,Left,00:00:00,8
Stoplight,Go,Left,00:00:00,8
Vehicle,Change Lane Right,Middle,00:00:00,8
Passenger,Change Lane Right,Right,00:00:00,8
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Left,Left,00:00:00,8
Vehicle,Change Lane Right,Middle,00:00:00,8
Vehicle,Change Lane Right,Right,00:00:00,8
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Right,Right,00:00:00,8
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Left,Left,00:00:00,8
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Right,Right,00:00:00,8
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Left,Left,00:00:00,8
Stoplight,Stop,Left,00:00:00,8
Stoplight,Go,Left,00:00:00,8
Vehicle,Change Lane Right,Middle,00:00:00,8
Vehicle,Change Lane Left,Left,00:00:00,8
Vehicle,Change Lane Right,Right,00:00:00,8
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Left,Middle,00:00:00,8
Vehicle,Change Lane Left,Left,00:00:00,8
Vehicle,Change Lane Right,Middle,00:00:00,8
Vehicle,Change Lane Right,Middle,00:00:00,8
Vehicle,Change Lane Right,Middle,00:00:00,8
